p,q,r,frequency_hz,rounded_hz,classification
1,0,0,46.466099,46,axial
0,1,0,61.295706,61,axial
0,0,1,66.482265,66,axial
1,1,0,76.917241,77,tangential
1,0,1,81.110973,81,tangential
0,1,1,90.427071,90,tangential
2,0,0,92.932199,93,axial
1,1,1,101.666875,102,oblique
2,1,0,111.326354,111,tangential
2,0,1,114.264103,114,tangential
0,2,0,122.591411,123,axial
2,1,1,129.666683,130,oblique
1,2,0,131.102069,131,tangential
0,0,2,132.964531,133,axial
3,0,0,139.398298,139,axial
0,2,1,139.458043,139,tangential
1,0,2,140.849795,141,tangential
0,1,2,146.412875,146,tangential
1,2,1,146.995388,147,oblique
3,1,0,152.279510,152,tangential
1,1,2,153.609337,154,oblique
2,2,0,153.834482,154,tangential
3,0,1,154.440206,154,tangential
2,0,2,162.221947,162,tangential
3,1,1,166.159384,166,oblique
2,2,1,167.585618,168,oblique
2,1,2,173.416042,173,oblique
0,2,2,180.854142,181,tangential
0,3,0,183.887117,184,axial
3,2,0,185.635502,186,tangential
4,0,0,185.864398,186,axial
1,2,2,186.727928,187,oblique
1,3,0,189.666998,190,tangential
3,0,2,192.643329,193,tangential
0,3,1,195.536092,196,tangential
4,1,0,195.710853,196,tangential
3,2,1,197.181215,197,oblique
4,0,1,197.396722,197,tangential
0,0,3,199.446796,199,axial
1,3,1,200.981247,201,oblique
3,1,2,202.159876,202,oblique
2,2,2,203.333751,203,oblique
1,0,3,204.787995,205,tangential
2,3,0,206.036078,206,tangential
4,1,1,206.694532,207,oblique
0,1,3,208.653272,209,tangential
1,1,3,213.764558,214,oblique
2,3,1,216.496552,216,oblique
2,0,3,220.035038,220,tangential
4,2,0,222.652708,223,tangential
0,3,2,226.922979,227,tangential
3,2,2,228.342082,228,oblique
2,1,3,228.413182,228,oblique
4,0,2,228.528206,229,tangential
3,3,0,230.751722,231,tangential
1,3,2,231.631467,232,oblique
5,0,0,232.330497,232,axial
4,2,1,232.366349,232,oblique
0,2,3,234.110398,234,tangential
4,1,2,236.605800,237,oblique
1,2,3,238.677140,239,oblique
3,3,1,240.137979,240,oblique
5,1,0,240.280302,240,tangential
5,0,1,241.655440,242,tangential
3,0,3,243.332920,243,tangential
0,4,0,245.182823,245,axial
2,3,2,245.215073,245,oblique
5,1,1,249.308073,249,oblique
1,4,0,249.547020,250,tangential
3,1,3,250.934401,251,oblique
2,2,3,251.881068,252,oblique
0,4,1,254.036431,254,tangential
1,4,1,258.251053,258,oblique
4,2,2,259.333367,259,oblique
4,3,0,261.457542,261,tangential
2,4,0,262.204138,262,tangential
5,2,0,262.690149,263,tangential
0,0,4,265.929062,266,axial
3,3,2,266.319214,266,oblique
5,0,2,267.688301,268,tangential
4,3,1,269.777571,270,oblique
1,0,4,269.958079,270,tangential
2,4,1,270.501205,271,oblique
5,2,1,270.972334,271,oblique
0,3,3,271.281213,271,tangential
3,2,3,272.469382,272,oblique
4,0,3,272.625382,273,tangential
0,1,4,272.901868,273,tangential
5,1,2,274.616442,275,oblique
1,3,3,275.231893,275,oblique
1,1,4,276.829420,277,oblique
6,0,0,278.796597,279,axial
0,4,2,278.916086,279,tangential
4,1,3,279.431141,279,oblique
2,0,4,281.699591,282,tangential
3,4,0,282.039895,282,tangential
1,4,2,282.760113,283,oblique
6,1,0,285.455261,285,tangential
6,0,1,286.613737,287,tangential
2,3,3,286.757546,287,oblique
2,1,4,288.291212,288,oblique
3,4,1,289.769553,290,oblique
0,2,4,292.825750,293,tangential
6,1,1,293.094861,293,oblique
4,3,2,293.325097,293,oblique
2,4,2,293.990776,294,oblique
5,2,2,294.424321,294,oblique
5,3,0,296.297033,296,tangential
1,2,4,296.489491,296,oblique
4,2,3,298.920145,299,oblique
