p,q,r,frequency_hz,rounded_hz,classification
0,1,0,24.345618,24,axial
1,0,0,33.241133,33,axial
1,1,0,41.202937,41,tangential
0,2,0,48.691237,49,axial
0,0,1,55.759319,56,axial
1,2,0,58.955996,59,tangential
0,1,1,60.842508,61,tangential
1,0,1,64.915904,65,tangential
2,0,0,66.482265,66,axial
1,1,1,69.330972,69,oblique
2,1,0,70.799723,71,tangential
0,3,0,73.036855,73,axial
0,2,1,74.026605,74,tangential
1,3,0,80.245592,80,tangential
1,2,1,81.147465,81,oblique
2,2,0,82.405874,82,tangential
2,0,1,86.769772,87,tangential
2,1,1,90.120488,90,oblique
0,3,1,91.888432,92,tangential
0,4,0,97.382473,97,axial
1,3,1,97.716205,98,oblique
2,3,0,98.763727,99,tangential
2,2,1,99.497889,99,oblique
3,0,0,99.723398,100,axial
3,1,0,102.652157,103,tangential
1,4,0,102.899558,103,tangential
3,2,0,110.975640,111,tangential
0,0,2,111.518639,112,axial
0,4,1,112.216076,112,tangential
2,3,1,113.416822,113,oblique
0,1,2,114.145153,114,tangential
3,0,1,114.253481,114,tangential
1,0,2,116.367434,116,tangential
3,1,1,116.818521,117,oblique
1,4,1,117.035980,117,oblique
2,4,0,117.911991,118,tangential
1,1,2,118.886874,119,oblique
0,2,2,121.685017,122,tangential
0,5,0,121.728092,122,axial
3,3,0,123.608812,124,tangential
3,2,1,124.196193,124,oblique
1,2,2,126.143633,126,oblique
1,5,0,126.185186,126,tangential
2,0,2,129.831808,130,tangential
2,4,1,130.431359,130,oblique
2,1,2,132.094692,132,oblique
4,0,0,132.964531,133,axial
0,3,2,133.307123,133,tangential
0,5,1,133.891112,134,tangential
4,1,0,135.174981,135,tangential
3,3,1,135.603245,136,oblique
1,3,2,137.389089,137,oblique
1,5,1,137.955800,138,oblique
2,2,2,138.661945,139,oblique
2,5,0,138.699747,139,tangential
3,4,0,139.384727,139,tangential
4,2,0,141.599446,142,tangential
4,0,1,144.182760,144,tangential
0,6,0,146.073710,146,axial
4,1,1,146.223723,146,oblique
0,4,2,148.053210,148,tangential
2,3,2,148.965367,149,oblique
2,5,1,149.488199,149,oblique
3,0,2,149.603352,150,tangential
1,6,0,149.808216,150,tangential
3,4,1,150.123962,150,oblique
3,1,2,151.571343,152,oblique
4,3,0,151.703489,152,tangential
1,4,2,151.739005,152,oblique
4,2,1,152.182472,152,oblique
0,6,1,156.354183,156,tangential
3,2,2,157.327682,157,oblique
3,5,0,157.361000,157,tangential
1,6,1,159.848689,160,oblique
2,6,0,160.491185,160,tangential
4,3,1,161.626267,162,oblique
2,4,2,162.294931,162,oblique
4,4,0,164.811749,165,tangential
0,5,2,165.088264,165,tangential
5,0,0,166.205663,166,axial
3,3,2,166.479864,166,oblique
3,5,1,166.947854,167,oblique
0,0,3,167.277958,167,axial
5,1,0,167.979260,168,tangential
1,5,2,168.401627,168,oblique
0,1,3,169.040304,169,tangential
2,6,1,169.901507,170,oblique
0,7,0,170.419328,170,axial
1,0,3,170.548785,171,tangential
1,1,3,172.277675,172,oblique
5,2,0,173.191106,173,tangential
4,0,2,173.539544,174,tangential
1,7,0,173.630989,174,tangential
4,4,1,173.988546,174,oblique
0,2,3,174.220412,174,tangential
4,1,2,175.238929,175,oblique
5,0,1,175.309510,175,tangential
3,6,0,176.867987,177,tangential
5,1,1,176.991902,177,oblique
1,2,3,177.363256,177,oblique
2,5,2,177.971983,178,oblique
3,4,2,178.506328,179,oblique
0,7,1,179.309367,179,tangential
2,0,3,180.005019,180,tangential
4,2,2,180.240977,180,oblique
4,5,0,180.270061,180,tangential
5,3,0,181.545324,182,tangential
2,1,3,181.643926,182,oblique
5,2,1,181.945763,182,oblique
1,7,1,182.364531,182,oblique
0,3,3,182.527525,183,tangential
2,7,0,182.927961,183,tangential
0,6,2,183.776863,184,tangential
3,6,1,185.449148,185,oblique
1,3,3,185.529702,186,oblique
2,2,3,186.474243,186,oblique
1,6,2,186.758958,187,oblique
4,3,2,188.282648,188,oblique
4,5,1,188.696572,189,oblique
5,3,1,189.915261,190,oblique
2,7,1,191.237394,191,oblique
5,4,0,192.633509,193,tangential
3,5,2,192.870141,193,oblique
0,4,3,193.559452,194,tangential
2,3,3,194.258048,194,oblique
3,0,3,194.747712,195,tangential
0,8,0,194.764947,195,axial
2,6,2,195.432411,195,oblique
3,1,3,196.263549,196,oblique
1,4,3,196.393061,196,oblique
3,7,0,197.452535,197,tangential
4,6,0,197.527454,198,tangential
1,8,0,197.581268,198,tangential
4,4,2,198.995777,199,oblique
6,0,0,199.446796,199,axial
5,0,2,200.151766,200,tangential
5,4,1,200.541194,201,oblique
3,2,3,200.742392,201,oblique
6,1,0,200.927185,201,tangential
5,1,2,201.626979,202,oblique
0,8,1,202.589452,203,tangential
0,7,2,203.664317,204,tangential
2,4,3,204.658625,205,oblique
3,7,1,205.174573,205,oblique
4,6,1,205.246673,205,oblique
1,8,1,205.298463,205,oblique
6,2,0,205.304313,205,tangential
2,8,0,205.799116,206,tangential
5,2,2,205.989237,206,oblique
5,5,0,206.014686,206,tangential
1,7,2,206.359219,206,oblique
0,5,3,206.880747,207,tangential
6,0,1,207.094486,207,tangential
3,3,3,207.992917,208,oblique
6,1,1,208.520587,209,oblique
3,6,2,209.090152,209,oblique
1,5,3,209.534285,210,oblique
4,5,2,211.975710,212,oblique
6,3,0,212.399168,212,tangential
6,2,1,212.741540,213,oblique
5,3,2,213.061286,213,oblique
2,8,1,213.219084,213,oblique
5,5,1,213.427160,213,oblique
4,0,3,213.685474,214,tangential
2,7,2,214.240626,214,oblique
4,1,3,215.067875,215,oblique
4,7,0,216.153450,216,tangential
2,5,3,217.300564,217,oblique
3,4,3,217.738415,218,oblique
3,8,0,218.810741,219,tangential
0,9,0,219.110565,219,axial
4,2,3,219.162767,219,oblique
6,3,1,219.596239,220,oblique
5,6,0,221.273250,221,tangential
1,9,0,221.617717,222,tangential
6,4,0,221.951280,222,tangential
0,6,3,222.079814,222,tangential
5,4,2,222.584985,223,oblique
0,0,4,223.037277,223,axial
4,7,1,223.229513,223,oblique
0,1,4,224.362065,224,tangential
0,8,2,224.432153,224,tangential
1,6,3,224.553817,225,oblique
1,0,4,225.500776,226,tangential
3,8,1,225.803548,226,oblique
4,3,3,225.822638,226,oblique
0,9,1,226.094098,226,tangential
3,7,2,226.768407,227,oblique
1,1,4,226.811175,227,oblique
4,6,2,226.833644,227,oblique
1,8,2,226.880506,227,oblique
5,6,1,228.190607,228,oblique
0,2,4,228.290306,228,tangential
6,0,2,228.506961,229,tangential
1,9,1,228.524647,229,oblique
6,4,1,228.848142,229,oblique
2,9,0,228.974521,229,tangential
3,5,3,229.661489,230,oblique
6,1,2,229.800219,230,oblique
1,2,4,230.697717,231,oblique
2,6,3,231.817462,232,oblique
7,0,0,232.687929,233,axial
2,0,4,232.734868,233,tangential
6,2,2,233.637043,234,oblique
6,5,0,233.659480,234,tangential
7,1,0,233.958076,234,tangential
2,1,4,234.004760,234,oblique
2,8,2,234.071961,234,oblique
5,5,2,234.261515,234,oblique
0,3,4,234.691306,235,tangential
4,4,3,234.829359,235,oblique
2,9,1,235.665935,236,oblique
5,0,3,235.809749,236,tangential
4,8,0,235.823983,236,tangential
1,3,4,237.033715,237,oblique
5,1,3,237.063171,237,oblique
7,2,0,237.727804,238,tangential
2,2,4,237.773748,238,oblique
5,7,0,238.048461,238,tangential
0,7,3,238.798372,239,tangential
7,0,1,239.275519,239,tangential
6,3,2,239.895422,240,oblique
6,5,1,240.220429,240,oblique
7,1,1,240.510879,241,oblique
3,9,0,240.736777,241,tangential
5,2,3,240.784290,241,oblique
1,7,3,241.100883,241,oblique
4,8,1,242.326335,242,oblique
4,7,2,243.225658,243,oblique
0,4,4,243.370034,243,tangential
3,6,3,243.442396,243,oblique
0,10,0,243.456183,243,axial
7,3,0,243.881230,244,tangential
2,3,4,243.926015,244,oblique
7,2,1,244.179464,244,oblique
3,0,4,244.316154,244,tangential
5,7,1,244.491660,244,oblique
3,1,4,245.526154,246,oblique
3,8,2,245.590202,246,oblique
1,4,4,245.629693,246,oblique
1,10,0,245.715050,246,tangential
0,9,2,245.857370,246,tangential
4,5,3,245.925212,246,oblique
5,3,3,246.861540,247,oblique
3,9,1,247.109889,247,oblique
6,6,0,247.217623,247,tangential
5,6,2,247.786719,248,oblique
2,7,3,247.880121,248,oblique
1,9,2,248.094376,248,oblique
6,4,2,248.392386,248,oblique
3,2,4,249.120894,249,oblique
0,10,1,249.759914,250,tangential
7,3,1,250.174252,250,oblique
1,10,1,251.962274,252,oblique
7,4,0,252.243966,252,tangential
2,4,4,252.287267,252,oblique
2,10,0,252.370372,252,tangential
6,6,1,253.427810,253,oblique
0,5,4,254.093202,254,tangential
2,9,2,254.687530,255,oblique
3,3,4,254.999540,255,oblique
5,4,3,255.126604,255,oblique
5,8,0,256.042393,256,tangential
1,5,4,256.258323,256,oblique
4,9,0,256.298666,256,tangential
0,8,3,256.739751,257,tangential
7,0,2,258.031159,258,tangential
7,4,1,258.333351,258,oblique
2,10,1,258.456779,258,oblique
3,7,3,258.784503,259,oblique
4,6,3,258.841671,259,oblique
1,8,3,258.882739,259,oblique
6,5,2,258.907627,259,oblique
7,1,2,259.177137,259,oblique
4,0,4,259.663616,260,tangential
6,0,3,260.309316,260,tangential
4,1,4,260.802421,261,oblique
4,8,2,260.862718,261,oblique
6,1,3,261.445308,261,oblique
5,8,1,262.043524,262,oblique
4,9,1,262.293934,262,oblique
6,7,0,262.339040,262,tangential
7,2,2,262.585063,263,oblique
7,5,0,262.605028,263,tangential
2,5,4,262.646620,263,oblique
5,7,2,262.875402,263,oblique
3,4,4,263.008991,263,oblique
3,10,0,263.088710,263,tangential
4,2,4,264.189383,264,oblique
6,2,3,264.824048,265,oblique
2,8,3,265.207827,265,oblique
3,9,2,265.312274,265,oblique
5,5,3,265.375142,265,oblique
8,0,0,265.929062,266,axial
0,6,4,266.614245,267,tangential
8,1,0,267.041148,267,tangential
0,10,2,267.782225,268,tangential
0,11,0,267.801801,268,axial
7,3,2,268.168718,268,oblique
6,7,1,268.199317,268,oblique
7,5,1,268.459498,268,oblique
1,6,4,268.678486,269,oblique
3,10,1,268.932651,269,oblique
4,3,4,269.739830,270,oblique
1,10,2,269.837530,270,oblique
1,11,0,269.856958,270,tangential
8,2,0,270.349963,270,tangential
6,3,3,270.361465,270,oblique
6,6,2,271.206490,271,oblique
8,0,1,271.711920,272,tangential
8,1,1,272.800434,273,oblique
3,5,4,272.961740,273,oblique
4,7,3,273.320744,273,oblique
0,11,1,273.545072,274,tangential
7,6,0,274.738423,275,tangential
2,6,4,274.778179,275,oblique
5,9,0,275.015931,275,tangential
