p,q,r,frequency_hz,rounded_hz,classification
1,0,0,25.954038,26,axial
0,1,0,26.757568,27,axial
1,1,0,37.277064,37,tangential
2,0,0,51.908075,52,axial
0,2,0,53.515136,54,axial
0,0,1,55.939770,56,axial
2,1,0,58.398765,58,tangential
1,2,0,59.476734,59,tangential
1,0,1,61.667414,62,tangential
0,1,1,62.009881,62,tangential
1,1,1,67.222298,67,oblique
2,2,0,74.554128,75,tangential
2,0,1,76.313211,76,tangential
0,2,1,77.415294,77,tangential
3,0,0,77.862113,78,axial
0,3,0,80.272704,80,axial
2,1,1,80.868248,81,oblique
1,2,1,81.650106,82,oblique
3,1,0,82.331501,82,tangential
1,3,0,84.364205,84,tangential
2,2,1,93.207167,93,oblique
3,2,0,94.479513,94,tangential
2,3,0,95.593699,96,tangential
3,0,1,95.873701,96,tangential
0,3,1,97.841530,98,tangential
3,1,1,99.537601,100,oblique
1,3,1,101.225377,101,oblique
4,0,0,103.816150,104,axial
0,4,0,107.030272,107,axial
4,1,0,107.208957,107,tangential
3,2,1,109.798162,110,oblique
1,4,0,110.132154,110,tangential
2,3,1,110.758355,111,oblique
3,3,0,111.831193,112,tangential
0,0,2,111.879540,112,axial
1,0,2,114.850527,115,tangential
0,1,2,115.034773,115,tangential
4,2,0,116.797529,117,tangential
1,1,2,117.926295,118,oblique
4,0,1,117.928160,118,tangential
2,4,0,118.953468,119,tangential
0,4,1,120.767285,121,tangential
4,1,1,120.925673,121,oblique
2,0,2,123.334828,123,tangential
1,4,1,123.524691,124,oblique
0,2,2,124.019762,124,tangential
3,3,1,125.041887,125,oblique
2,1,2,126.203991,126,oblique
1,2,2,126.706406,127,oblique
4,2,1,129.502590,130,oblique
5,0,0,129.770188,130,axial
4,3,0,131.230713,131,tangential
2,4,1,131.450315,131,oblique
3,4,0,132.355536,132,tangential
5,1,0,132.500072,133,tangential
0,5,0,133.787841,134,axial
2,2,2,134.444597,134,oblique
1,5,0,136.282054,136,tangential
3,0,2,136.306787,136,tangential
0,3,2,137.697998,138,tangential
3,1,2,138.908270,139,oblique
1,3,2,140.122627,140,oblique
5,2,0,140.371548,140,tangential
5,0,1,141.313692,141,tangential
4,3,1,142.656083,143,oblique
2,5,0,143.504824,144,tangential
3,4,1,143.691495,144,oblique
5,1,1,143.824640,144,oblique
0,5,1,145.011876,145,tangential
3,2,2,146.435685,146,oblique
2,3,2,147.157014,147,oblique
1,5,1,147.316178,147,oblique
4,4,0,149.108257,149,tangential
5,2,1,151.107344,151,oblique
5,3,0,152.590985,153,tangential
4,0,2,152.626422,153,tangential
2,5,1,154.022376,154,oblique
3,5,0,154.795655,155,tangential
0,4,2,154.830587,155,tangential
4,1,2,154.954161,155,oblique
6,0,0,155.724225,156,axial
1,4,2,156.990837,157,oblique
6,1,0,158.006335,158,tangential
3,3,2,158.187380,158,oblique
4,4,1,159.256178,159,oblique
0,6,0,160.545409,161,axial
4,2,2,161.736497,162,oblique
5,3,1,162.521588,163,oblique
